#    L    TT             EE             TE             PP             TP          
  6424    0.11545E-01    0.82141E-04    0.34371E-03    0.16463E+05    0.26102E+00
  6425    0.11534E-01    0.81883E-04    0.34339E-03    0.16459E+05    0.26089E+00
  6426    0.11522E-01    0.81626E-04    0.34306E-03    0.16455E+05    0.26077E+00
  6427    0.11510E-01    0.81371E-04    0.34272E-03    0.16450E+05    0.26065E+00
  6428    0.11499E-01    0.81116E-04    0.34238E-03    0.16446E+05    0.26052E+00
  6429    0.11487E-01    0.80862E-04    0.34204E-03    0.16442E+05    0.26040E+00
  6430    0.11476E-01    0.80609E-04    0.34170E-03    0.16438E+05    0.26028E+00
  6431    0.11464E-01    0.80358E-04    0.34135E-03    0.16434E+05    0.26016E+00
  6432    0.11453E-01    0.80107E-04    0.34099E-03    0.16430E+05    0.26003E+00
  6433    0.11441E-01    0.79858E-04    0.34063E-03    0.16426E+05    0.25991E+00
  6434    0.11430E-01    0.79610E-04    0.34027E-03    0.16422E+05    0.25979E+00
  6435    0.11419E-01    0.79362E-04    0.33991E-03    0.16417E+05    0.25967E+00
  6436    0.11407E-01    0.79116E-04    0.33954E-03    0.16413E+05    0.25954E+00
  6437    0.11396E-01    0.78871E-04    0.33917E-03    0.16409E+05    0.25942E+00
  6438    0.11385E-01    0.78626E-04    0.33879E-03    0.16405E+05    0.25930E+00
  6439    0.11374E-01    0.78383E-04    0.33841E-03    0.16401E+05    0.25918E+00
  6440    0.11363E-01    0.78141E-04    0.33803E-03    0.16397E+05    0.25906E+00
  6441    0.11351E-01    0.77900E-04    0.33764E-03    0.16393E+05    0.25894E+00
  6442    0.11340E-01    0.77660E-04    0.33725E-03    0.16389E+05    0.25881E+00
  6443    0.11329E-01    0.77421E-04    0.33685E-03    0.16385E+05    0.25869E+00
  6444    0.11318E-01    0.77183E-04    0.33645E-03    0.16380E+05    0.25857E+00
  6445    0.11307E-01    0.76946E-04    0.33605E-03    0.16376E+05    0.25845E+00
  6446    0.11297E-01    0.76709E-04    0.33565E-03    0.16372E+05    0.25833E+00
  6447    0.11286E-01    0.76474E-04    0.33524E-03    0.16368E+05    0.25821E+00
  6448    0.11275E-01    0.76240E-04    0.33482E-03    0.16364E+05    0.25809E+00
  6449    0.11264E-01    0.76007E-04    0.33441E-03    0.16360E+05    0.25797E+00
  6450    0.11253E-01    0.75775E-04    0.33399E-03    0.16356E+05    0.25785E+00
  6451    0.11243E-01    0.75544E-04    0.33357E-03    0.16352E+05    0.25773E+00
  6452    0.11232E-01    0.75314E-04    0.33314E-03    0.16348E+05    0.25761E+00
  6453    0.11221E-01    0.75085E-04    0.33271E-03    0.16344E+05    0.25749E+00
  6454    0.11211E-01    0.74857E-04    0.33228E-03    0.16340E+05    0.25737E+00
  6455    0.11200E-01    0.74630E-04    0.33184E-03    0.16336E+05    0.25725E+00
  6456    0.11189E-01    0.74404E-04    0.33140E-03    0.16331E+05    0.25713E+00
  6457    0.11179E-01    0.74179E-04    0.33096E-03    0.16327E+05    0.25701E+00
  6458    0.11168E-01    0.73955E-04    0.33051E-03    0.16323E+05    0.25689E+00
  6459    0.11158E-01    0.73732E-04    0.33006E-03    0.16319E+05    0.25677E+00
  6460    0.11148E-01    0.73510E-04    0.32960E-03    0.16315E+05    0.25665E+00
  6461    0.11137E-01    0.73289E-04    0.32915E-03    0.16311E+05    0.25653E+00
  6462    0.11127E-01    0.73068E-04    0.32869E-03    0.16307E+05    0.25641E+00
  6463    0.11117E-01    0.72849E-04    0.32822E-03    0.16303E+05    0.25629E+00
  6464    0.11106E-01    0.72631E-04    0.32776E-03    0.16299E+05    0.25617E+00
  6465    0.11096E-01    0.72414E-04    0.32729E-03    0.16295E+05    0.25605E+00
  6466    0.11086E-01    0.72197E-04    0.32681E-03    0.16291E+05    0.25593E+00
  6467    0.11076E-01    0.71982E-04    0.32634E-03    0.16287E+05    0.25581E+00
  6468    0.11066E-01    0.71767E-04    0.32586E-03    0.16283E+05    0.25569E+00
  6469    0.11056E-01    0.71554E-04    0.32538E-03    0.16279E+05    0.25558E+00
  6470    0.11046E-01    0.71341E-04    0.32489E-03    0.16274E+05    0.25546E+00
  6471    0.11036E-01    0.71130E-04    0.32440E-03    0.16270E+05    0.25534E+00
  6472    0.11026E-01    0.70919E-04    0.32391E-03    0.16266E+05    0.25522E+00
  6473    0.11016E-01    0.70709E-04    0.32341E-03    0.16262E+05    0.25510E+00
  6474    0.11006E-01    0.70500E-04    0.32292E-03    0.16258E+05    0.25498E+00
  6475    0.10996E-01    0.70292E-04    0.32241E-03    0.16254E+05    0.25487E+00
  6476    0.10986E-01    0.70085E-04    0.32191E-03    0.16250E+05    0.25475E+00
  6477    0.10976E-01    0.69879E-04    0.32140E-03    0.16246E+05    0.25463E+00
  6478    0.10966E-01    0.69674E-04    0.32089E-03    0.16242E+05    0.25451E+00
  6479    0.10957E-01    0.69470E-04    0.32038E-03    0.16238E+05    0.25440E+00
  6480    0.10947E-01    0.69266E-04    0.31986E-03    0.16234E+05    0.25428E+00
  6481    0.10937E-01    0.69064E-04    0.31934E-03    0.16230E+05    0.25416E+00
  6482    0.10928E-01    0.68862E-04    0.31882E-03    0.16226E+05    0.25404E+00
  6483    0.10918E-01    0.68662E-04    0.31830E-03    0.16222E+05    0.25393E+00
  6484    0.10908E-01    0.68462E-04    0.31777E-03    0.16218E+05    0.25381E+00
  6485    0.10899E-01    0.68263E-04    0.31724E-03    0.16214E+05    0.25369E+00
  6486    0.10889E-01    0.68065E-04    0.31670E-03    0.16210E+05    0.25357E+00
  6487    0.10880E-01    0.67868E-04    0.31617E-03    0.16206E+05    0.25346E+00
  6488    0.10870E-01    0.67672E-04    0.31563E-03    0.16202E+05    0.25334E+00
  6489    0.10861E-01    0.67477E-04    0.31509E-03    0.16198E+05    0.25322E+00
  6490    0.10852E-01    0.67283E-04    0.31454E-03    0.16194E+05    0.25311E+00
  6491    0.10842E-01    0.67089E-04    0.31399E-03    0.16190E+05    0.25299E+00
  6492    0.10833E-01    0.66896E-04    0.31344E-03    0.16186E+05    0.25288E+00
  6493    0.10824E-01    0.66705E-04    0.31289E-03    0.16182E+05    0.25276E+00
  6494    0.10814E-01    0.66514E-04    0.31233E-03    0.16178E+05    0.25264E+00
  6495    0.10805E-01    0.66324E-04    0.31178E-03    0.16174E+05    0.25253E+00
  6496    0.10796E-01    0.66135E-04    0.31121E-03    0.16170E+05    0.25241E+00
  6497    0.10787E-01    0.65946E-04    0.31065E-03    0.16166E+05    0.25229E+00
  6498    0.10778E-01    0.65759E-04    0.31008E-03    0.16162E+05    0.25218E+00
  6499    0.10768E-01    0.65572E-04    0.30952E-03    0.16157E+05    0.25206E+00
  6500    0.10759E-01    0.65387E-04    0.30894E-03    0.16153E+05    0.25195E+00
  6501    0.10750E-01    0.65202E-04    0.30837E-03    0.16149E+05    0.25183E+00
  6502    0.10741E-01    0.65018E-04    0.30779E-03    0.16145E+05    0.25172E+00
  6503    0.10732E-01    0.64834E-04    0.30721E-03    0.16141E+05    0.25160E+00
  6504    0.10723E-01    0.64652E-04    0.30663E-03    0.16137E+05    0.25149E+00
  6505    0.10714E-01    0.64471E-04    0.30605E-03    0.16133E+05    0.25137E+00
  6506    0.10706E-01    0.64290E-04    0.30546E-03    0.16129E+05    0.25126E+00
  6507    0.10697E-01    0.64110E-04    0.30487E-03    0.16125E+05    0.25114E+00
  6508    0.10688E-01    0.63931E-04    0.30428E-03    0.16121E+05    0.25103E+00
  6509    0.10679E-01    0.63753E-04    0.30368E-03    0.16117E+05    0.25091E+00
  6510    0.10670E-01    0.63575E-04    0.30309E-03    0.16113E+05    0.25080E+00
  6511    0.10662E-01    0.63399E-04    0.30249E-03    0.16109E+05    0.25068E+00
  6512    0.10653E-01    0.63223E-04    0.30189E-03    0.16105E+05    0.25057E+00
  6513    0.10644E-01    0.63048E-04    0.30128E-03    0.16102E+05    0.25045E+00
  6514    0.10635E-01    0.62874E-04    0.30068E-03    0.16098E+05    0.25034E+00
  6515    0.10627E-01    0.62701E-04    0.30007E-03    0.16094E+05    0.25022E+00
  6516    0.10618E-01    0.62528E-04    0.29946E-03    0.16090E+05    0.25011E+00
  6517    0.10610E-01    0.62356E-04    0.29885E-03    0.16086E+05    0.25000E+00
  6518    0.10601E-01    0.62185E-04    0.29823E-03    0.16082E+05    0.24988E+00
  6519    0.10593E-01    0.62015E-04    0.29761E-03    0.16078E+05    0.24977E+00
  6520    0.10584E-01    0.61846E-04    0.29699E-03    0.16074E+05    0.24965E+00
  6521    0.10576E-01    0.61677E-04    0.29637E-03    0.16070E+05    0.24954E+00
  6522    0.10567E-01    0.61510E-04    0.29575E-03    0.16066E+05    0.24943E+00
  6523    0.10559E-01    0.61343E-04    0.29512E-03    0.16062E+05    0.24931E+00
  6524    0.10550E-01    0.61177E-04    0.29449E-03    0.16058E+05    0.24920E+00
  6525    0.10542E-01    0.61011E-04    0.29386E-03    0.16054E+05    0.24909E+00
  6526    0.10534E-01    0.60846E-04    0.29323E-03    0.16050E+05    0.24897E+00
  6527    0.10526E-01    0.60683E-04    0.29259E-03    0.16046E+05    0.24886E+00
  6528    0.10517E-01    0.60519E-04    0.29196E-03    0.16042E+05    0.24875E+00
  6529    0.10509E-01    0.60357E-04    0.29132E-03    0.16038E+05    0.24863E+00
  6530    0.10501E-01    0.60195E-04    0.29068E-03    0.16034E+05    0.24852E+00
  6531    0.10493E-01    0.60035E-04    0.29003E-03    0.16030E+05    0.24841E+00
  6532    0.10484E-01    0.59875E-04    0.28939E-03    0.16026E+05    0.24830E+00
  6533    0.10476E-01    0.59715E-04    0.28874E-03    0.16022E+05    0.24818E+00
  6534    0.10468E-01    0.59557E-04    0.28809E-03    0.16018E+05    0.24807E+00
  6535    0.10460E-01    0.59399E-04    0.28744E-03    0.16014E+05    0.24796E+00
  6536    0.10452E-01    0.59242E-04    0.28679E-03    0.16010E+05    0.24785E+00
  6537    0.10444E-01    0.59085E-04    0.28613E-03    0.16006E+05    0.24773E+00
  6538    0.10436E-01    0.58930E-04    0.28547E-03    0.16002E+05    0.24762E+00
  6539    0.10428E-01    0.58775E-04    0.28482E-03    0.15998E+05    0.24751E+00
  6540    0.10420E-01    0.58621E-04    0.28415E-03    0.15994E+05    0.24740E+00
  6541    0.10412E-01    0.58467E-04    0.28349E-03    0.15990E+05    0.24729E+00
  6542    0.10404E-01    0.58315E-04    0.28283E-03    0.15986E+05    0.24717E+00
  6543    0.10397E-01    0.58163E-04    0.28216E-03    0.15983E+05    0.24706E+00
  6544    0.10389E-01    0.58011E-04    0.28149E-03    0.15979E+05    0.24695E+00
  6545    0.10381E-01    0.57861E-04    0.28082E-03    0.15975E+05    0.24684E+00
  6546    0.10373E-01    0.57711E-04    0.28015E-03    0.15971E+05    0.24673E+00
  6547    0.10365E-01    0.57562E-04    0.27948E-03    0.15967E+05    0.24662E+00
  6548    0.10358E-01    0.57413E-04    0.27880E-03    0.15963E+05    0.24650E+00
  6549    0.10350E-01    0.57266E-04    0.27813E-03    0.15959E+05    0.24639E+00
  6550    0.10342E-01    0.57119E-04    0.27745E-03    0.15955E+05    0.24628E+00
  6551    0.10335E-01    0.56972E-04    0.27677E-03    0.15951E+05    0.24617E+00
  6552    0.10327E-01    0.56827E-04    0.27609E-03    0.15947E+05    0.24606E+00
  6553    0.10319E-01    0.56682E-04    0.27540E-03    0.15943E+05    0.24595E+00
  6554    0.10312E-01    0.56537E-04    0.27472E-03    0.15939E+05    0.24584E+00
  6555    0.10304E-01    0.56394E-04    0.27403E-03    0.15935E+05    0.24573E+00
  6556    0.10297E-01    0.56251E-04    0.27334E-03    0.15931E+05    0.24562E+00
  6557    0.10289E-01    0.56109E-04    0.27265E-03    0.15927E+05    0.24551E+00
  6558    0.10282E-01    0.55967E-04    0.27196E-03    0.15924E+05    0.24540E+00
  6559    0.10274E-01    0.55826E-04    0.27127E-03    0.15920E+05    0.24529E+00
  6560    0.10267E-01    0.55686E-04    0.27057E-03    0.15916E+05    0.24517E+00
  6561    0.10259E-01    0.55547E-04    0.26988E-03    0.15912E+05    0.24506E+00
  6562    0.10252E-01    0.55408E-04    0.26918E-03    0.15908E+05    0.24495E+00
  6563    0.10244E-01    0.55270E-04    0.26848E-03    0.15904E+05    0.24484E+00
  6564    0.10237E-01    0.55132E-04    0.26778E-03    0.15900E+05    0.24473E+00
  6565    0.10230E-01    0.54995E-04    0.26708E-03    0.15896E+05    0.24462E+00
  6566    0.10222E-01    0.54859E-04    0.26638E-03    0.15892E+05    0.24451E+00
  6567    0.10215E-01    0.54723E-04    0.26567E-03    0.15888E+05    0.24440E+00
  6568    0.10208E-01    0.54589E-04    0.26497E-03    0.15884E+05    0.24429E+00
  6569    0.10201E-01    0.54454E-04    0.26426E-03    0.15881E+05    0.24419E+00
  6570    0.10193E-01    0.54321E-04    0.26355E-03    0.15877E+05    0.24408E+00
  6571    0.10186E-01    0.54188E-04    0.26284E-03    0.15873E+05    0.24397E+00
  6572    0.10179E-01    0.54055E-04    0.26213E-03    0.15869E+05    0.24386E+00
  6573    0.10172E-01    0.53923E-04    0.26142E-03    0.15865E+05    0.24375E+00
  6574    0.10165E-01    0.53792E-04    0.26070E-03    0.15861E+05    0.24364E+00
  6575    0.10158E-01    0.53662E-04    0.25999E-03    0.15857E+05    0.24353E+00
  6576    0.10151E-01    0.53532E-04    0.25927E-03    0.15853E+05    0.24342E+00
  6577    0.10144E-01    0.53403E-04    0.25855E-03    0.15849E+05    0.24331E+00
  6578    0.10137E-01    0.53274E-04    0.25783E-03    0.15845E+05    0.24320E+00
  6579    0.10129E-01    0.53146E-04    0.25712E-03    0.15842E+05    0.24309E+00
  6580    0.10122E-01    0.53019E-04    0.25639E-03    0.15838E+05    0.24298E+00
  6581    0.10116E-01    0.52892E-04    0.25567E-03    0.15834E+05    0.24288E+00
  6582    0.10109E-01    0.52766E-04    0.25495E-03    0.15830E+05    0.24277E+00
  6583    0.10102E-01    0.52640E-04    0.25422E-03    0.15826E+05    0.24266E+00
  6584    0.10095E-01    0.52515E-04    0.25350E-03    0.15822E+05    0.24255E+00
  6585    0.10088E-01    0.52391E-04    0.25277E-03    0.15818E+05    0.24244E+00
  6586    0.10081E-01    0.52267E-04    0.25205E-03    0.15814E+05    0.24233E+00
  6587    0.10074E-01    0.52144E-04    0.25132E-03    0.15811E+05    0.24223E+00
  6588    0.10067E-01    0.52021E-04    0.25059E-03    0.15807E+05    0.24212E+00
  6589    0.10060E-01    0.51899E-04    0.24986E-03    0.15803E+05    0.24201E+00
  6590    0.10054E-01    0.51777E-04    0.24912E-03    0.15799E+05    0.24190E+00
  6591    0.10047E-01    0.51656E-04    0.24839E-03    0.15795E+05    0.24179E+00
  6592    0.10040E-01    0.51536E-04    0.24766E-03    0.15791E+05    0.24168E+00
  6593    0.10033E-01    0.51416E-04    0.24692E-03    0.15787E+05    0.24158E+00
  6594    0.10027E-01    0.51297E-04    0.24619E-03    0.15783E+05    0.24147E+00
  6595    0.10020E-01    0.51178E-04    0.24545E-03    0.15780E+05    0.24136E+00
  6596    0.10013E-01    0.51060E-04    0.24472E-03    0.15776E+05    0.24125E+00
  6597    0.10007E-01    0.50943E-04    0.24398E-03    0.15772E+05    0.24115E+00
  6598    0.10000E-01    0.50826E-04    0.24324E-03    0.15768E+05    0.24104E+00
  6599    0.99934E-02    0.50709E-04    0.24250E-03    0.15764E+05    0.24093E+00
  6600    0.99868E-02    0.50594E-04    0.24176E-03    0.15760E+05    0.24082E+00
  6601    0.99802E-02    0.50478E-04    0.24102E-03    0.15756E+05    0.24072E+00
  6602    0.99737E-02    0.50364E-04    0.24028E-03    0.15753E+05    0.24061E+00
  6603    0.99671E-02    0.50249E-04    0.23954E-03    0.15749E+05    0.24050E+00
  6604    0.99606E-02    0.50136E-04    0.23879E-03    0.15745E+05    0.24040E+00
  6605    0.99541E-02    0.50022E-04    0.23805E-03    0.15741E+05    0.24029E+00
  6606    0.99476E-02    0.49910E-04    0.23730E-03    0.15737E+05    0.24018E+00
  6607    0.99411E-02    0.49798E-04    0.23656E-03    0.15733E+05    0.24008E+00
  6608    0.99347E-02    0.49686E-04    0.23581E-03    0.15729E+05    0.23997E+00
  6609    0.99282E-02    0.49575E-04    0.23507E-03    0.15726E+05    0.23986E+00
  6610    0.99218E-02    0.49465E-04    0.23432E-03    0.15722E+05    0.23976E+00
  6611    0.99154E-02    0.49355E-04    0.23357E-03    0.15718E+05    0.23965E+00
  6612    0.99091E-02    0.49245E-04    0.23282E-03    0.15714E+05    0.23954E+00
  6613    0.99027E-02    0.49136E-04    0.23207E-03    0.15710E+05    0.23944E+00
  6614    0.98963E-02    0.49027E-04    0.23132E-03    0.15706E+05    0.23933E+00
  6615    0.98900E-02    0.48920E-04    0.23057E-03    0.15703E+05    0.23922E+00
  6616    0.98837E-02    0.48812E-04    0.22982E-03    0.15699E+05    0.23912E+00
  6617    0.98774E-02    0.48705E-04    0.22907E-03    0.15695E+05    0.23901E+00
  6618    0.98711E-02    0.48599E-04    0.22832E-03    0.15691E+05    0.23891E+00
  6619    0.98649E-02    0.48493E-04    0.22757E-03    0.15687E+05    0.23880E+00
  6620    0.98586E-02    0.48387E-04    0.22682E-03    0.15683E+05    0.23869E+00
  6621    0.98524E-02    0.48282E-04    0.22606E-03    0.15680E+05    0.23859E+00
  6622    0.98462E-02    0.48177E-04    0.22531E-03    0.15676E+05    0.23848E+00
  6623    0.98400E-02    0.48073E-04    0.22456E-03    0.15672E+05    0.23838E+00
  6624    0.98338E-02    0.47970E-04    0.22380E-03    0.15668E+05    0.23827E+00
  6625    0.98276E-02    0.47867E-04    0.22305E-03    0.15664E+05    0.23817E+00
  6626    0.98215E-02    0.47764E-04    0.22230E-03    0.15661E+05    0.23806E+00
  6627    0.98153E-02    0.47662E-04    0.22154E-03    0.15657E+05    0.23796E+00
  6628    0.98092E-02    0.47560E-04    0.22079E-03    0.15653E+05    0.23785E+00
  6629    0.98031E-02    0.47459E-04    0.22003E-03    0.15649E+05    0.23775E+00
  6630    0.97970E-02    0.47358E-04    0.21927E-03    0.15645E+05    0.23764E+00
  6631    0.97910E-02    0.47258E-04    0.21852E-03    0.15641E+05    0.23753E+00
  6632    0.97849E-02    0.47158E-04    0.21776E-03    0.15638E+05    0.23743E+00
  6633    0.97789E-02    0.47058E-04    0.21701E-03    0.15634E+05    0.23732E+00
  6634    0.97728E-02    0.46959E-04    0.21625E-03    0.15630E+05    0.23722E+00
  6635    0.97668E-02    0.46861E-04    0.21549E-03    0.15626E+05    0.23712E+00
  6636    0.97608E-02    0.46763E-04    0.21474E-03    0.15622E+05    0.23701E+00
  6637    0.97548E-02    0.46665E-04    0.21398E-03    0.15619E+05    0.23691E+00
  6638    0.97489E-02    0.46568E-04    0.21322E-03    0.15615E+05    0.23680E+00
  6639    0.97429E-02    0.46471E-04    0.21247E-03    0.15611E+05    0.23670E+00
  6640    0.97370E-02    0.46375E-04    0.21171E-03    0.15607E+05    0.23659E+00
  6641    0.97311E-02    0.46279E-04    0.21095E-03    0.15603E+05    0.23649E+00
  6642    0.97251E-02    0.46183E-04    0.21019E-03    0.15600E+05    0.23638E+00
  6643    0.97192E-02    0.46088E-04    0.20944E-03    0.15596E+05    0.23628E+00
  6644    0.97134E-02    0.45993E-04    0.20868E-03    0.15592E+05    0.23617E+00
  6645    0.97075E-02    0.45899E-04    0.20792E-03    0.15588E+05    0.23607E+00
  6646    0.97016E-02    0.45805E-04    0.20717E-03    0.15584E+05    0.23597E+00
  6647    0.96958E-02    0.45712E-04    0.20641E-03    0.15581E+05    0.23586E+00
  6648    0.96900E-02    0.45619E-04    0.20565E-03    0.15577E+05    0.23576E+00
  6649    0.96841E-02    0.45526E-04    0.20489E-03    0.15573E+05    0.23565E+00
  6650    0.96783E-02    0.45434E-04    0.20414E-03    0.15569E+05    0.23555E+00
  6651    0.96725E-02    0.45342E-04    0.20338E-03    0.15565E+05    0.23545E+00
  6652    0.96668E-02    0.45250E-04    0.20262E-03    0.15562E+05    0.23534E+00
  6653    0.96610E-02    0.45159E-04    0.20187E-03    0.15558E+05    0.23524E+00
  6654    0.96552E-02    0.45069E-04    0.20111E-03    0.15554E+05    0.23514E+00
  6655    0.96495E-02    0.44978E-04    0.20036E-03    0.15550E+05    0.23503E+00
  6656    0.96438E-02    0.44888E-04    0.19960E-03    0.15547E+05    0.23493E+00
  6657    0.96380E-02    0.44799E-04    0.19884E-03    0.15543E+05    0.23483E+00
  6658    0.96323E-02    0.44710E-04    0.19809E-03    0.15539E+05    0.23472E+00
  6659    0.96266E-02    0.44621E-04    0.19733E-03    0.15535E+05    0.23462E+00
  6660    0.96209E-02    0.44532E-04    0.19658E-03    0.15532E+05    0.23452E+00
  6661    0.96153E-02    0.44444E-04    0.19583E-03    0.15528E+05    0.23441E+00
  6662    0.96096E-02    0.44356E-04    0.19507E-03    0.15524E+05    0.23431E+00
  6663    0.96040E-02    0.44269E-04    0.19432E-03    0.15520E+05    0.23421E+00
  6664    0.95983E-02    0.44182E-04    0.19356E-03    0.15516E+05    0.23410E+00
  6665    0.95927E-02    0.44095E-04    0.19281E-03    0.15513E+05    0.23400E+00
  6666    0.95871E-02    0.44009E-04    0.19206E-03    0.15509E+05    0.23390E+00
  6667    0.95815E-02    0.43923E-04    0.19131E-03    0.15505E+05    0.23379E+00
  6668    0.95759E-02    0.43838E-04    0.19055E-03    0.15501E+05    0.23369E+00
  6669    0.95703E-02    0.43752E-04    0.18980E-03    0.15498E+05    0.23359E+00
  6670    0.95647E-02    0.43667E-04    0.18905E-03    0.15494E+05    0.23349E+00
  6671    0.95592E-02    0.43583E-04    0.18830E-03    0.15490E+05    0.23338E+00
  6672    0.95536E-02    0.43498E-04    0.18755E-03    0.15486E+05    0.23328E+00
  6673    0.95481E-02    0.43414E-04    0.18680E-03    0.15483E+05    0.23318E+00
  6674    0.95425E-02    0.43331E-04    0.18605E-03    0.15479E+05    0.23308E+00
  6675    0.95370E-02    0.43248E-04    0.18531E-03    0.15475E+05    0.23297E+00
  6676    0.95315E-02    0.43165E-04    0.18456E-03    0.15471E+05    0.23287E+00
  6677    0.95260E-02    0.43082E-04    0.18381E-03    0.15468E+05    0.23277E+00
  6678    0.95205E-02    0.43000E-04    0.18307E-03    0.15464E+05    0.23267E+00
  6679    0.95150E-02    0.42917E-04    0.18232E-03    0.15460E+05    0.23257E+00
  6680    0.95096E-02    0.42836E-04    0.18157E-03    0.15456E+05    0.23246E+00
  6681    0.95041E-02    0.42754E-04    0.18083E-03    0.15453E+05    0.23236E+00
  6682    0.94986E-02    0.42673E-04    0.18009E-03    0.15449E+05    0.23226E+00
  6683    0.94932E-02    0.42592E-04    0.17934E-03    0.15445E+05    0.23216E+00
  6684    0.94878E-02    0.42512E-04    0.17860E-03    0.15441E+05    0.23206E+00
  6685    0.94823E-02    0.42432E-04    0.17786E-03    0.15438E+05    0.23195E+00
  6686    0.94769E-02    0.42352E-04    0.17712E-03    0.15434E+05    0.23185E+00
  6687    0.94715E-02    0.42272E-04    0.17638E-03    0.15430E+05    0.23175E+00
  6688    0.94661E-02    0.42193E-04    0.17564E-03    0.15427E+05    0.23165E+00
  6689    0.94607E-02    0.42113E-04    0.17490E-03    0.15423E+05    0.23155E+00
  6690    0.94553E-02    0.42035E-04    0.17416E-03    0.15419E+05    0.23145E+00
  6691    0.94499E-02    0.41956E-04    0.17343E-03    0.15415E+05    0.23134E+00
  6692    0.94446E-02    0.41878E-04    0.17269E-03    0.15412E+05    0.23124E+00
  6693    0.94392E-02    0.41800E-04    0.17196E-03    0.15408E+05    0.23114E+00
  6694    0.94338E-02    0.41722E-04    0.17122E-03    0.15404E+05    0.23104E+00
  6695    0.94285E-02    0.41645E-04    0.17049E-03    0.15400E+05    0.23094E+00
  6696    0.94232E-02    0.41567E-04    0.16976E-03    0.15397E+05    0.23084E+00
  6697    0.94178E-02    0.41490E-04    0.16903E-03    0.15393E+05    0.23074E+00
  6698    0.94125E-02    0.41414E-04    0.16830E-03    0.15389E+05    0.23064E+00
  6699    0.94072E-02    0.41337E-04    0.16757E-03    0.15386E+05    0.23053E+00
  6700    0.94019E-02    0.41261E-04    0.16684E-03    0.15382E+05    0.23043E+00
  6701    0.93966E-02    0.41185E-04    0.16611E-03    0.15378E+05    0.23033E+00
  6702    0.93913E-02    0.41109E-04    0.16538E-03    0.15374E+05    0.23023E+00
  6703    0.93860E-02    0.41034E-04    0.16466E-03    0.15371E+05    0.23013E+00
  6704    0.93807E-02    0.40958E-04    0.16394E-03    0.15367E+05    0.23003E+00
  6705    0.93754E-02    0.40883E-04    0.16321E-03    0.15363E+05    0.22993E+00
  6706    0.93701E-02    0.40809E-04    0.16249E-03    0.15360E+05    0.22983E+00
  6707    0.93649E-02    0.40734E-04    0.16177E-03    0.15356E+05    0.22973E+00
  6708    0.93596E-02    0.40660E-04    0.16105E-03    0.15352E+05    0.22963E+00
  6709    0.93543E-02    0.40585E-04    0.16033E-03    0.15349E+05    0.22953E+00
  6710    0.93491E-02    0.40512E-04    0.15962E-03    0.15345E+05    0.22943E+00
  6711    0.93439E-02    0.40438E-04    0.15890E-03    0.15341E+05    0.22933E+00
  6712    0.93386E-02    0.40364E-04    0.15818E-03    0.15337E+05    0.22923E+00
  6713    0.93334E-02    0.40291E-04    0.15747E-03    0.15334E+05    0.22913E+00
  6714    0.93282E-02    0.40218E-04    0.15676E-03    0.15330E+05    0.22903E+00
  6715    0.93229E-02    0.40145E-04    0.15605E-03    0.15326E+05    0.22893E+00
  6716    0.93177E-02    0.40072E-04    0.15534E-03    0.15323E+05    0.22883E+00
  6717    0.93125E-02    0.40000E-04    0.15463E-03    0.15319E+05    0.22873E+00
  6718    0.93073E-02    0.39928E-04    0.15392E-03    0.15315E+05    0.22863E+00
  6719    0.93021E-02    0.39855E-04    0.15322E-03    0.15312E+05    0.22853E+00
  6720    0.92969E-02    0.39784E-04    0.15251E-03    0.15308E+05    0.22843E+00
  6721    0.92917E-02    0.39712E-04    0.15181E-03    0.15304E+05    0.22833E+00
  6722    0.92865E-02    0.39640E-04    0.15111E-03    0.15301E+05    0.22823E+00
  6723    0.92813E-02    0.39569E-04    0.15041E-03    0.15297E+05    0.22813E+00
  6724    0.92762E-02    0.39498E-04    0.14971E-03    0.15293E+05    0.22803E+00
  6725    0.92710E-02    0.39427E-04    0.14901E-03    0.15289E+05    0.22793E+00
  6726    0.92658E-02    0.39356E-04    0.14832E-03    0.15286E+05    0.22783E+00
  6727    0.92606E-02    0.39285E-04    0.14762E-03    0.15282E+05    0.22773E+00
  6728    0.92555E-02    0.39214E-04    0.14693E-03    0.15278E+05    0.22763E+00
  6729    0.92503E-02    0.39144E-04    0.14624E-03    0.15275E+05    0.22753E+00
  6730    0.92452E-02    0.39074E-04    0.14555E-03    0.15271E+05    0.22743E+00
  6731    0.92400E-02    0.39004E-04    0.14486E-03    0.15267E+05    0.22733E+00
  6732    0.92348E-02    0.38934E-04    0.14418E-03    0.15264E+05    0.22723E+00
  6733    0.92297E-02    0.38864E-04    0.14349E-03    0.15260E+05    0.22713E+00
  6734    0.92245E-02    0.38794E-04    0.14281E-03    0.15256E+05    0.22703E+00
  6735    0.92194E-02    0.38725E-04    0.14213E-03    0.15253E+05    0.22693E+00
  6736    0.92143E-02    0.38656E-04    0.14145E-03    0.15249E+05    0.22683E+00
  6737    0.92091E-02    0.38586E-04    0.14077E-03    0.15245E+05    0.22673E+00
  6738    0.92040E-02    0.38517E-04    0.14009E-03    0.15242E+05    0.22663E+00
  6739    0.91989E-02    0.38448E-04    0.13942E-03    0.15238E+05    0.22654E+00
  6740    0.91937E-02    0.38379E-04    0.13875E-03    0.15234E+05    0.22644E+00
