#    L    TT             EE             TE             PP             TP          
   213    0.59218E+04    0.76206E+00    0.28378E+01    0.26041E+07    0.23275E+04
   214    0.59262E+04    0.77586E+00    0.44076E+01    0.25917E+07    0.23090E+04
   215    0.59300E+04    0.79118E+00    0.59926E+01    0.25795E+07    0.22907E+04
   216    0.59331E+04    0.80782E+00    0.75934E+01    0.25674E+07    0.22724E+04
   217    0.59356E+04    0.82594E+00    0.92079E+01    0.25553E+07    0.22544E+04
   218    0.59375E+04    0.84556E+00    0.10836E+02    0.25434E+07    0.22364E+04
   219    0.59387E+04    0.86666E+00    0.12480E+02    0.25315E+07    0.22186E+04
   220    0.59393E+04    0.88940E+00    0.14133E+02    0.25197E+07    0.22009E+04
   221    0.59393E+04    0.91371E+00    0.15799E+02    0.25080E+07    0.21834E+04
   222    0.59386E+04    0.93973E+00    0.17477E+02    0.24964E+07    0.21660E+04
   223    0.59372E+04    0.96740E+00    0.19166E+02    0.24849E+07    0.21487E+04
   224    0.59353E+04    0.99672E+00    0.20863E+02    0.24735E+07    0.21315E+04
   225    0.59327E+04    0.10278E+01    0.22571E+02    0.24621E+07    0.21145E+04
   226    0.59295E+04    0.10607E+01    0.24286E+02    0.24509E+07    0.20976E+04
   227    0.59256E+04    0.10954E+01    0.26010E+02    0.24397E+07    0.20808E+04
   228    0.59212E+04    0.11320E+01    0.27741E+02    0.24286E+07    0.20642E+04
   229    0.59161E+04    0.11703E+01    0.29478E+02    0.24176E+07    0.20476E+04
   230    0.59103E+04    0.12106E+01    0.31221E+02    0.24067E+07    0.20312E+04
   231    0.59039E+04    0.12528E+01    0.32969E+02    0.23958E+07    0.20150E+04
   232    0.58969E+04    0.12969E+01    0.34722E+02    0.23850E+07    0.19988E+04
   233    0.58893E+04    0.13431E+01    0.36477E+02    0.23743E+07    0.19827E+04
   234    0.58809E+04    0.13913E+01    0.38236E+02    0.23637E+07    0.19668E+04
   235    0.58720E+04    0.14415E+01    0.39996E+02    0.23532E+07    0.19510E+04
   236    0.58624E+04    0.14938E+01    0.41758E+02    0.23427E+07    0.19353E+04
   237    0.58521E+04    0.15481E+01    0.43520E+02    0.23324E+07    0.19197E+04
   238    0.58413E+04    0.16047E+01    0.45283E+02    0.23221E+07    0.19042E+04
   239    0.58299E+04    0.16632E+01    0.47044E+02    0.23118E+07    0.18889E+04
   240    0.58177E+04    0.17239E+01    0.48803E+02    0.23017E+07    0.18736E+04
   241    0.58050E+04    0.17869E+01    0.50560E+02    0.22916E+07    0.18585E+04
   242    0.57918E+04    0.18520E+01    0.52313E+02    0.22816E+07    0.18435E+04
   243    0.57779E+04    0.19193E+01    0.54062E+02    0.22716E+07    0.18285E+04
   244    0.57633E+04    0.19889E+01    0.55807E+02    0.22618E+07    0.18137E+04
   245    0.57482E+04    0.20607E+01    0.57546E+02    0.22520E+07    0.17990E+04
   246    0.57324E+04    0.21348E+01    0.59279E+02    0.22422E+07    0.17844E+04
   247    0.57162E+04    0.22111E+01    0.61004E+02    0.22326E+07    0.17699E+04
   248    0.56993E+04    0.22899E+01    0.62722E+02    0.22230E+07    0.17556E+04
   249    0.56819E+04    0.23708E+01    0.64431E+02    0.22134E+07    0.17413E+04
   250    0.56638E+04    0.24543E+01    0.66130E+02    0.22040E+07    0.17271E+04
   251    0.56453E+04    0.25399E+01    0.67819E+02    0.21945E+07    0.17130E+04
   252    0.56261E+04    0.26279E+01    0.69498E+02    0.21852E+07    0.16991E+04
   253    0.56066E+04    0.27181E+01    0.71165E+02    0.21759E+07    0.16852E+04
   254    0.55864E+04    0.28109E+01    0.72819E+02    0.21667E+07    0.16714E+04
   255    0.55656E+04    0.29058E+01    0.74460E+02    0.21576E+07    0.16578E+04
   256    0.55444E+04    0.30034E+01    0.76089E+02    0.21485E+07    0.16442E+04
   257    0.55227E+04    0.31030E+01    0.77698E+02    0.21394E+07    0.16307E+04
   258    0.55004E+04    0.32051E+01    0.79298E+02    0.21305E+07    0.16173E+04
   259    0.54777E+04    0.33096E+01    0.80875E+02    0.21215E+07    0.16040E+04
   260    0.54545E+04    0.34165E+01    0.82443E+02    0.21127E+07    0.15908E+04
   261    0.54308E+04    0.35256E+01    0.83981E+02    0.21039E+07    0.15777E+04
   262    0.54066E+04    0.36372E+01    0.85511E+02    0.20952E+07    0.15647E+04
   263    0.53821E+04    0.37511E+01    0.87025E+02    0.20865E+07    0.15518E+04
   264    0.53571E+04    0.38674E+01    0.88515E+02    0.20779E+07    0.15389E+04
   265    0.53315E+04    0.39859E+01    0.89975E+02    0.20693E+07    0.15262E+04
   266    0.53055E+04    0.41069E+01    0.91426E+02    0.20608E+07    0.15135E+04
   267    0.52791E+04    0.42301E+01    0.92846E+02    0.20524E+07    0.15009E+04
   268    0.52522E+04    0.43557E+01    0.94250E+02    0.20440E+07    0.14884E+04
   269    0.52248E+04    0.44836E+01    0.95630E+02    0.20357E+07    0.14760E+04
   270    0.51971E+04    0.46137E+01    0.96987E+02    0.20274E+07    0.14636E+04
   271    0.51690E+04    0.47460E+01    0.98320E+02    0.20192E+07    0.14514E+04
   272    0.51406E+04    0.48808E+01    0.99622E+02    0.20110E+07    0.14392E+04
   273    0.51118E+04    0.50175E+01    0.10091E+03    0.20029E+07    0.14271E+04
   274    0.50826E+04    0.51568E+01    0.10216E+03    0.19948E+07    0.14151E+04
   275    0.50530E+04    0.52979E+01    0.10339E+03    0.19868E+07    0.14032E+04
   276    0.50232E+04    0.54413E+01    0.10458E+03    0.19788E+07    0.13913E+04
   277    0.49929E+04    0.55869E+01    0.10575E+03    0.19709E+07    0.13795E+04
   278    0.49624E+04    0.57346E+01    0.10689E+03    0.19631E+07    0.13678E+04
   279    0.49315E+04    0.58843E+01    0.10800E+03    0.19553E+07    0.13562E+04
   280    0.49003E+04    0.60360E+01    0.10909E+03    0.19475E+07    0.13447E+04
   281    0.48690E+04    0.61899E+01    0.11014E+03    0.19398E+07    0.13332E+04
